rid;metadata
cf5b0920-f432-4f2c-8d02-a21436d3c60e;../fake-data/blob/hipster.txt
db43d34c-84aa-44c2-8214-dce0c30db185;../fake-data/blob/hipster.txt
99e1ba71-b23d-4636-9a39-1115c4e622aa;../fake-data/blob/hipster.txt
1f40327a-2b1d-4303-af07-c767d102005e;../fake-data/blob/hipster.txt
1ec4edc4-ad64-4b01-9ff4-b9cf64df3cc0;../fake-data/blob/hipster.txt
ff5cae23-0ee0-474c-af02-949d6909dd41;../fake-data/blob/hipster.txt
e8ce792c-27a6-4c3d-89eb-2c8d478672a7;../fake-data/blob/hipster.txt
7a5c07d8-253f-4a83-ac1d-2e001c854ece;../fake-data/blob/hipster.txt
be00078e-7928-4cac-bf19-af55ccd30cb4;../fake-data/blob/hipster.txt
e2d221f3-0434-42e9-aa35-ec6502e1f00d;../fake-data/blob/hipster.txt
